# Residuals   
# Time        	p             	Ux            	Uy            
11            	4.815137e-01	3.045809e-03	4.557829e-03
11.1          	6.032737e-01	2.708985e-03	5.650629e-03
11.2          	4.727307e-01	2.982543e-03	4.436525e-03
11.3          	5.907473e-01	2.646773e-03	5.487187e-03
11.4          	4.640311e-01	2.922234e-03	4.320364e-03
11.5          	5.783724e-01	2.587788e-03	5.330656e-03
11.6          	4.554142e-01	2.864617e-03	4.208919e-03
11.7          	5.661541e-01	2.531970e-03	5.180723e-03
11.8          	4.468971e-01	2.809633e-03	4.102107e-03
11.9          	5.540933e-01	2.479084e-03	5.037039e-03
12            	4.384822e-01	2.757119e-03	3.999711e-03
12.1          	5.422049e-01	2.429011e-03	4.899269e-03
12.2          	4.301811e-01	2.706950e-03	3.901502e-03
12.3          	5.305042e-01	2.381653e-03	4.767093e-03
12.4          	4.220027e-01	2.658991e-03	3.807180e-03
12.5          	5.190213e-01	2.336741e-03	4.640288e-03
12.6          	4.139560e-01	2.613083e-03	3.716581e-03
12.7          	5.077759e-01	2.293988e-03	4.518564e-03
12.8          	4.061363e-01	2.568725e-03	3.629432e-03
12.9          	4.969516e-01	2.252913e-03	4.401527e-03
13            	3.982732e-01	2.526993e-03	3.545500e-03
13.1          	4.857688e-01	2.215398e-03	4.288908e-03
13.2          	3.903428e-01	2.487851e-03	3.464655e-03
13.3          	4.746786e-01	2.180171e-03	4.180502e-03
13.4          	3.827620e-01	2.449410e-03	3.386748e-03
13.5          	4.645230e-01	2.144684e-03	4.076141e-03
13.6          	3.754259e-01	2.412055e-03	3.311680e-03
13.7          	4.543839e-01	2.111336e-03	3.975651e-03
13.8          	3.681543e-01	2.376417e-03	3.239246e-03
13.9          	4.443988e-01	2.079720e-03	3.878874e-03
14            	3.609938e-01	2.342258e-03	3.169324e-03
14.1          	4.346129e-01	2.049621e-03	3.785619e-03
14.2          	3.539554e-01	2.309454e-03	3.101809e-03
14.3          	4.250467e-01	2.020926e-03	3.695698e-03
14.4          	3.470452e-01	2.277912e-03	3.036621e-03
14.5          	4.156988e-01	1.993486e-03	3.608976e-03
14.6          	3.402719e-01	2.247545e-03	2.973646e-03
14.7          	4.065674e-01	1.967214e-03	3.525302e-03
14.8          	3.336383e-01	2.218281e-03	2.912731e-03
14.9          	3.976596e-01	1.942083e-03	3.444550e-03
15            	3.271403e-01	2.190063e-03	2.853773e-03
15.1          	3.889605e-01	1.917992e-03	3.366558e-03
15.2          	3.207687e-01	2.162841e-03	2.796711e-03
15.3          	3.804670e-01	1.894892e-03	3.291180e-03
15.4          	3.145167e-01	2.136557e-03	2.741438e-03
15.5          	3.721820e-01	1.872727e-03	3.218326e-03
15.6          	3.084119e-01	2.111059e-03	2.687940e-03
15.7          	3.640718e-01	1.851495e-03	3.147858e-03
15.8          	3.024226e-01	2.086470e-03	2.636099e-03
15.9          	3.561576e-01	1.831037e-03	3.079668e-03
16            	2.965831e-01	2.062588e-03	2.585824e-03
16.1          	3.484565e-01	1.811329e-03	3.013667e-03
16.2          	2.908515e-01	2.039537e-03	2.537007e-03
16.3          	3.409539e-01	1.792294e-03	2.949801e-03
16.4          	2.852393e-01	2.017181e-03	2.489616e-03
16.5          	3.336472e-01	1.773912e-03	2.887948e-03
16.6          	2.797481e-01	1.995482e-03	2.443618e-03
16.7          	3.265318e-01	1.756155e-03	2.828038e-03
16.8          	2.743722e-01	1.974410e-03	2.398945e-03
16.9          	3.195991e-01	1.738973e-03	2.769990e-03
17            	2.691177e-01	1.953926e-03	2.355500e-03
17.1          	3.128407e-01	1.722324e-03	2.713703e-03
17.2          	2.639826e-01	1.934004e-03	2.313235e-03
17.3          	3.062538e-01	1.706180e-03	2.659109e-03
17.4          	2.589639e-01	1.914614e-03	2.272156e-03
17.5          	2.998417e-01	1.690529e-03	2.606088e-03
17.6          	2.540608e-01	1.895737e-03	2.232226e-03
17.7          	2.936016e-01	1.675327e-03	2.554647e-03
17.8          	2.492756e-01	1.877350e-03	2.193389e-03
17.9          	2.875308e-01	1.660538e-03	2.504722e-03
18            	2.446025e-01	1.859442e-03	2.155607e-03
18.1          	2.816234e-01	1.646167e-03	2.456252e-03
18.2          	2.400404e-01	1.841982e-03	2.118835e-03
18.3          	2.758786e-01	1.632175e-03	2.409234e-03
