Zeit_s,T_ref_C,RTD_dig,T_Pt100_C
6725.00,20.56,8380,25.60
6730.00,20.56,8380,25.60
6735.00,20.56,8379,25.60
6740.00,20.50,8379,25.57
6745.00,20.50,8379,25.57
6750.00,20.50,8379,25.57
6755.00,20.50,8379,25.57
6760.00,20.50,8379,25.57
6765.00,20.50,8379,25.57
6770.00,20.50,8378,25.53
6775.00,20.50,8378,25.53
6780.00,20.44,8378,25.53
6785.00,20.44,8378,25.53
6790.00,20.44,8378,25.53
6795.00,20.44,8377,25.50
6800.00,20.44,8377,25.53
6805.00,20.44,8377,25.50
6810.00,20.44,8377,25.46
6815.00,20.37,8377,25.50
6820.00,20.37,8376,25.50
6825.00,20.37,8376,25.50
6830.00,20.37,8376,25.46
6835.00,20.37,8376,25.46
6840.00,20.37,8375,25.46
6845.00,20.37,8375,25.40
6850.00,20.31,8375,25.43
6855.00,20.31,8375,25.40
6860.00,20.31,8375,25.40
6865.00,20.31,8374,25.40
6870.00,20.31,8373,25.36
6875.00,20.31,8373,25.40
6880.00,20.31,8373,25.36
6885.00,20.31,8373,25.36
6890.00,20.31,8373,25.40
6895.00,20.25,8373,25.36
6900.00,20.25,8372,25.36
6905.00,20.25,8373,25.36
6910.00,20.25,8373,25.36
6915.00,20.25,8372,25.36
6920.00,20.25,8372,25.33
6925.00,20.25,8372,25.33
6930.00,20.25,8372,25.33
6935.00,20.25,8371,25.33
6940.00,20.19,8371,25.33
6945.00,20.19,8372,25.33
6950.00,20.19,8371,25.29
6955.00,20.19,8371,25.29
6960.00,20.19,8371,25.29
6965.00,20.19,8371,25.26
6970.00,20.19,8370,25.26
6975.00,20.19,8370,25.26
6980.00,20.19,8369,25.26
6985.00,20.12,8369,25.23
6990.00,20.12,8369,25.23
6995.00,20.12,8369,25.23
7000.00,20.12,8368,25.23
7005.00,20.12,8368,25.23
7010.00,20.12,8368,25.19
7015.00,20.12,8368,25.19
7020.00,20.06,8368,25.19
7025.00,20.06,8367,25.16
7030.00,20.06,8367,25.19
7035.00,20.06,8367,25.16
7040.00,20.06,8367,25.16
7045.00,20.06,8367,25.16
7050.00,20.06,8367,25.16
7055.00,20.06,8366,25.13
7060.00,20.06,8366,25.13
7065.00,20.00,8367,25.16
7070.00,20.00,8365,25.13
7075.00,20.00,8365,25.09
7080.00,20.00,8365,25.09
7085.00,20.00,8365,25.09
7090.00,20.00,8364,25.09
7095.00,20.00,8364,25.09
7100.00,20.00,8364,25.06
7105.00,20.00,8365,25.06
7110.00,19.94,8364,25.06
7115.00,19.94,8364,25.06
7120.00,19.94,8364,25.06
7125.00,19.94,8364,25.06
7130.00,19.94,8363,25.06
7135.00,19.94,8363,25.02
7140.00,19.94,8362,25.02
7145.00,19.94,8363,25.02
7150.00,19.87,8362,25.02
7155.00,19.87,8362,25.02
7160.00,19.87,8361,24.99
7165.00,19.87,8362,24.99
7170.00,19.87,8362,24.99
7175.00,19.87,8361,24.96
7180.00,19.87,8361,24.99
7185.00,19.87,8361,24.99
7190.00,19.81,8361,24.96
7195.00,19.81,8360,24.92
7200.00,19.81,8361,24.96
7205.00,19.81,8360,24.92
7210.00,19.81,8360,24.92
7215.00,19.81,8360,24.96
7220.00,19.81,8359,24.92
7225.00,19.81,8359,24.89
7230.00,19.81,8359,24.89
7235.00,19.81,8359,24.89
7240.00,19.75,8358,24.89
7245.00,19.75,8359,24.89
7250.00,19.75,8358,24.89
7255.00,19.75,8358,24.85
7260.00,19.75,8358,24.82
7265.00,19.75,8357,24.85
7270.00,19.75,8357,24.85
7275.00,19.75,8358,24.85
7280.00,19.75,8357,24.82
7285.00,19.75,8357,24.82
7290.00,19.69,8357,24.82
7295.00,19.69,8357,24.82
7300.00,19.69,8357,24.82
7305.00,19.69,8356,24.79
